,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,60400,1,1200,2.03,59300,60600,59300,10529632,633777717900,360574866020000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,515000,2,-16000,-3.01,533000,534000,507000,621086,319858394500,120510000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,81500,1,2700,3.43,79400,81500,79300,2985508,240904110800,59332192747500,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,827000,3,0,0.0,834000,835000,815000,47743,39408528000,58860898000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,54700,1,1500,2.82,53800,54700,53600,826927,44870497500,45011902490000,822886700,STK
5,006400,KR7006400006,삼성SDI,KOSPI,,645000,2,-48000,-6.93,691000,693000,645000,429503,282960257000,44353121850000,68764530,STK
6,051910,KR7051910008,LG화학,KOSPI,,627000,2,-43000,-6.42,665000,666000,627000,438095,279177539000,44261399061000,70592343,STK
7,005380,KR7005380001,현대차,KOSPI,,162500,1,500,0.31,163500,164000,162000,464194,75480271000,34721080387500,213668187,STK
8,035420,KR7035420009,NAVER,KOSPI,,195000,1,9500,5.12,187500,195000,187000,1081470,208176701500,31989571575000,164049085,STK
9,000270,KR7000270009,기아,KOSPI,,65200,1,500,0.77,65100,65500,64700,1011844,65862237400,26429690224400,405363347,STK
10,035720,KR7035720002,카카오,KOSPI,,58100,1,2600,4.68,56100,58200,56000,2404261,138515069600,25878343484700,445410387,STK
11,068270,KR7068270008,셀트리온,KOSPI,,180500,1,4000,2.27,177000,180500,175000,434010,77604217000,25415340405000,140805210,STK
12,005490,KR7005490008,POSCO홀딩스,KOSPI,,284000,2,-2500,-0.87,286000,288000,277500,490437,138443194500,24018229320000,84571230,STK
13,028260,KR7028260008,삼성물산,KOSPI,,118500,1,1000,0.85,118000,118500,117000,177070,20905162500,22146119098500,186887081,STK
14,105560,KR7105560007,KB금융,KOSPI,,52600,1,2200,4.37,50900,52900,50500,2051498,107386072900,21507985776800,408897068,STK
15,012330,KR7012330007,현대모비스,KOSPI,,208500,1,2500,1.21,209500,210000,205500,170385,35501965000,19658442099000,94285094,STK
16,055550,KR7055550008,신한지주,KOSPI,,38000,1,600,1.6,37700,38650,37600,2078940,79416589950,19333825022000,508784869,STK
17,096770,KR7096770003,SK이노베이션,KOSPI,,168500,1,5000,3.06,164000,170000,163000,415979,69499679500,15580447534000,92465564,STK
18,034730,KR7034730002,SK,KOSPI,,203500,2,-500,-0.25,204500,205000,201000,148824,30140316000,15089388451500,74149329,STK
19,003670,KR7003670007,포스코케미칼,KOSPI,,193000,2,-11000,-5.39,205000,205500,191500,1167020,227977612500,14950401460000,77463220,STK
20,066570,KR7066570003,LG전자,KOSPI,,91000,1,1200,1.34,90500,91200,89700,599973,54277224400,14891951074000,163647814,STK
21,032830,KR7032830002,삼성생명,KOSPI,,73700,1,900,1.24,72700,74100,72400,525463,38623392000,14740000000000,200000000,STK
22,086790,KR7086790003,하나금융지주,KOSPI,,46450,1,1650,3.68,45500,46900,45100,2007522,93190898750,13744716460200,295903476,STK
23,015760,KR7015760002,한국전력,KOSPI,,21000,1,1650,8.53,19650,21000,19650,3800777,77880387100,13481245617000,641964077,STK
24,033780,KR7033780008,KT&G,KOSPI,,98000,2,-900,-0.91,97300,99200,97300,332029,32698780700,13454664706000,137292497,STK
25,323410,KR7323410001,카카오뱅크,KOSPI,,28100,1,650,2.37,27800,28150,27400,3539550,98764659650,13395661629700,476713937,STK
