,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
40,030200,KR7030200000,KT,KOSPI,,36600,1,50,0.14,37050,37150,36300,1380838,50525676950,9556692172800,261111808,STK
41,000810,KR7000810002,삼성화재,KOSPI,,200500,2,-500,-0.25,202500,203000,198500,106115,21251676000,9498654818500,47374837,STK
42,316140,KR7316140003,우리금융지주,KOSPI,,11950,1,150,1.27,12050,12100,11800,2528678,30153324900,8700323560550,728060549,STK
43,024110,KR7024110009,기업은행,KOSPI,,10650,1,100,0.95,10700,10800,10550,1207113,12842698300,7926801251550,744300587,STK
44,377300,KR7377300009,카카오페이,KOSPI,,59700,4,13750,29.92,47900,59700,47900,7144703,400143131350,7922223133500,132700555,STK
45,011070,KR7011070000,LG이노텍,KOSPI,,319500,1,32000,11.13,303000,320000,299000,717419,222690849500,7561640686500,23667107,STK
46,090430,KR7090430000,아모레퍼시픽,KOSPI,,121500,1,10000,8.97,117000,122500,116000,565486,67419080500,7106870218500,58492759,STK
47,302440,KR7302440003,SK바이오사이언스,KOSPI,,91100,1,4600,5.32,89900,91500,88700,507432,45868059600,6995026590600,76784046,STK
48,086280,KR7086280005,현대글로비스,KOSPI,,180000,1,500,0.28,184500,185500,179500,75098,13625180000,6750000000000,37500000,STK
49,097950,KR7097950000,CJ제일제당,KOSPI,,415500,2,-6500,-1.54,423500,428000,411000,80999,33705001000,6255014283000,15054186,STK
50,383220,KR7383220001,F&F,KOSPI,,157500,1,5500,3.62,156000,158500,152000,217139,33753113500,6033364312500,38307075,STK
51,011170,KR7011170008,롯데케미칼,KOSPI,,174500,2,-2000,-1.13,181000,185000,172000,349982,61533184500,5981060615500,34275419,STK
52,352820,KR7352820005,하이브,KOSPI,,141000,1,14500,11.46,133500,144000,133000,412850,57037966000,5830827567000,41353387,STK
53,402340,KR7402340004,SK스퀘어,KOSPI,,40800,1,1700,4.35,40600,40900,40000,547865,22256197850,5771876896800,141467571,STK
54,009540,KR7009540006,한국조선해양,KOSPI,,78300,1,2400,3.16,78000,78600,77200,172973,13476484500,5541534982800,70773116,STK
55,034220,KR7034220004,LG디스플레이,KOSPI,,15400,1,1100,7.69,14850,15450,14750,3409680,51563355750,5510361780000,357815700,STK
56,326030,KR7326030004,SK바이오팜,KOSPI,,68200,1,2300,3.49,67500,68500,67100,157312,10695485400,5340963650000,78313250,STK
57,028050,KR7028050003,삼성엔지니어링,KOSPI,,26900,1,1350,5.28,26200,27000,25900,2199253,58355208450,5272400000000,196000000,STK
58,032640,KR7032640005,LG유플러스,KOSPI,,11950,1,150,1.27,12000,12100,11900,868327,10410649300,5217505763950,436611361,STK
59,035250,KR7035250000,강원랜드,KOSPI,,24150,1,450,1.9,24100,24300,23650,1164133,27852587450,5166663075000,213940500,STK
60,267250,KR7267250009,HD현대,KOSPI,,61800,1,300,0.49,62500,62800,61200,161308,9976767600,4881772653000,78993085,STK
61,010140,KR7010140002,삼성중공업,KOSPI,,5520,1,200,3.76,5470,5570,5410,5006112,27481374060,4857600000000,880000000,STK
62,000720,KR7000720003,현대건설,KOSPI,,43050,1,2550,6.3,41950,43400,41300,1467602,62322902800,4793865683250,111355765,STK
63,047810,KR7047810007,한국항공우주,KOSPI,,48300,1,1100,2.33,48500,48900,47700,820037,39540457100,4708047668100,97475107,STK
64,088980,KR7088980008,맥쿼리인프라,KOSPI,,11450,1,400,3.62,11300,11450,11200,1058092,12012332600,4635481513150,404845547,STK
65,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,64000,1,4800,8.11,62000,64800,60500,1057643,66550806400,4563045888000,71297592,STK
66,018880,KR7018880005,한온시스템,KOSPI,,8300,1,370,4.67,8120,8340,8110,1128710,9315662190,4430540000000,533800000,STK
67,078930,KR7078930005,GS,KOSPI,,47600,2,-500,-1.04,48900,49000,47350,221264,10592450750,4422771992800,92915378,STK
68,251270,KR7251270005,넷마블,KOSPI,,50600,1,2400,4.98,50100,52200,49300,485198,24700643050,4349247201200,85953502,STK
69,011780,KR7011780004,금호석유,KOSPI,,148000,1,3500,2.42,148500,150500,147500,99827,14890311000,4338518176000,29314312,STK
70,000100,KR7000100008,유한양행,KOSPI,,58100,1,1000,1.75,58000,58600,57900,169312,9851680600,4254748755600,73231476,STK
