,Symbol,Name,Price
0,INTU,Intuit Inc,395.850006
1,ATVI,Activision Blizzard Inc,76.589996
2,PANW,Palo Alto Networks Inc,173.100006
3,AEP,American Electric Power Company Inc,95.129997
