,Symbol,Name,Price
0,ATVI,Activision Blizzard Inc,76.589996
1,PANW,Palo Alto Networks Inc,173.100006
2,AEP,American Electric Power Company Inc,95.129997
3,WDAY,Workday Inc Class A,149.339996
4,MRVL,Marvell Technology Inc,43.68
