,Symbol,Name,Price
0,MSFT,Microsoft Corp,251.029999
1,GOOGL,Alphabet Inc Class A,100.589996
2,GOOG,Alphabet Inc Class C,101.029999
3,QCOM,Qualcomm Inc,126.07
4,ABNB,Airbnb Inc Class A,99.896004
5,ADSK,Autodesk Inc,204.0
6,WDAY,Workday Inc Class A,166.095001
7,EXC,Exelon Corp,41.294998
8,RIVN,Rivian Automotive Inc Class A,30.52
9,CTSH,Cognizant Technology Solutions Corp Class A,62.84
