,Code,Name,Price
0,091990,셀트리온헬스케어,65700
1,017670,SK텔레콤,50500
2,302440,SK바이오사이언스,83200
3,097950,CJ제일제당,390000
4,402340,SK스퀘어,37500
5,028300,HLB,33200
6,005830,DB손해보험,62300
7,010620,현대미포조선,86000
8,029780,삼성카드,32500
