,Num,Name,Price
0,7,KRW-SNT,33.8
1,34,KRW-IOST,12.8
2,48,KRW-BTT,0.001
3,49,KRW-MOC,97.7
4,60,KRW-HBAR,85.4
5,66,KRW-CHZ,174.0
6,98,KRW-AXS,14580.0
