,Symbol,Name,Price
0,ATVI,Activision Blizzard Inc,74.400002
1,ADSK,Autodesk Inc,202.240005
2,DLTR,Dollar Tree Inc,149.940002
3,MRVL,Marvell Technology Inc,43.439999
